T5.K4.652.A98542 K6.QJT976.QT7.Q6 432.A.AKJ93.JT73 AQJ987.8532.84.K:65658888888843433232
T432.2.T753.K985 AK5.KJ74.AKQ6.T6 87.AQT985.94.A72 QJ96.63.J82.QJ43:99999898777698988787
K653.T76.A742.A9 A84.AJ9.QT83.T63 972.KQ43.96.J752 QJT.852.KJ5.KQ84:A9A988887777A9A98888
QT7.J7542.A4.J63 J8.KQ93.5.AQT875 K54.AT86.Q9872.2 A9632..KJT63.K94:9898A9A966667777BABA
T42.Q7.A95.K8432 K75.AJ985.QJT62. AQJ983.T4.4.QJT5 6.K632.K873.A976:66665343BABABBBB5353
K.T53.KT762.A863 AQ86.AJ.AQ4.KJ72 J9542.Q742.J9.T5 T73.K986.853.Q94:AAAAAAAAA9A99999AAAA
A.QJ96.KJ752.942 T854.T87.Q4.AK65 Q9732.K432.A86.T KJ6.A5.T93.QJ873:76766666323232329898
J43.KQJ65.4.K643 QT65.T983.9853.J AK7.A742.T62.972 982..AKQJ7.AQT85:666687875555BABA9696
Q5.AT73.AJ2.QT86 T62.9864.T65.AJ5 AKJ843.2.843.732 97.KQJ5.KQ97.K94:54544444777765655454
654.T2.QT4.T7643 AJT732.73.K87.A5 K8.AJ9654.J3.KQ9 Q9.KQ8.A9652.J82:AAA9AAAA7776A9A96666
72.Q93.9432.K954 QT984.42.AKQ.AT6 .KJ765.85.QJ8732 AKJ653.AT8.JT76.:CCCCDDDD6666CCCB5454
AT3.K63.AT95.762 862.JT752.Q7.AT9 KQJ97.Q84.8642.4 54.A9.KJ3.KQJ853:77774444777744449999
A853.Q97.Q64.T96 76.AJ.AKJ52.AQ87 J94.K853.T987.KJ KQT2.T642.3.5432:9898888888889999BABA
KT85.T764.6.AK98 632.8.AQJ9532.J7 Q74.AK953.KT4.Q5 AJ9.QJ2.87.T6432:44443333333376764444
A863.874.975.QJ5 4.QJT2.QT6.AT974 KT7.A96.KJ4.K863 QJ952.K53.A832.2:77777777878788887777
JT53.65.QJT8.T83 AQ874.32.K954.72 K92.K74.A762.KQJ 6.AQJT98.3.A9654:99977777AAAA767699A9
.K53.9875.Q97542 KQT973.A4.AQ.AK3 J85.QT9872.J43.6 A642.J6.KT62.JT8:DDDDDDDD7777AAAA9999
T87.Q76.K732.AK2 J6.A82.AJ8.J8753 Q953.KJ5.T94.QT9 AK42.T943.Q65.64:76767676878776767777
K8.QJ98.QJ982.87 975..AT7653.KQT9 QJ64.AK7.4.J6543 AT32.T65432.K.A2:76769898767698987777
Q762.653.AQ4.AJ7 AT93.T84.KJ75.K5 85.K2.T9862.Q863 KJ4.AQJ97.3.T942:BABABABABBBB88889898
AJT97.A7.T2.QT84 Q.K964.J9764.A62 42.QJ52.AK85.J73 K8653.T83.Q3.K95:54545454667676765555
62.A873.Q832.AJ6 Q543.J5.KJT.T985 AJ987.Q4.A6.KQ72 KT.KT962.9754.43:54544444666655654444
T64.QJ84.Q7.KQ32 Q3.A95.AJT63.J86 KJ92.K3.8542.AT7 A875.T762.K9.954:77775555767677775555
K632.AJ.AQ973.76 AQJ.Q64.K2.KQT84 54.KT985.T86.953 T987.732.J54.AJ2:99998888767665559898
93.A963.AKJ96.AK KT72.J8.QT7542.5 AQ8.KQT2.8.JT943 J654.754.3.Q8762:11114444000033331111
AT62.K973.QT7.A2 94.Q6.K652.Q9873 KJ5.T8542.A93.K5 Q873.AJ.J84.JT64:22223333222244446666
AJ32.K3.T73.AK86 T9765.T8542.K5.T Q84..A9642.QJ742 K.AQJ976.QJ8.953:33335555999922222222
AJ92.AQJT74.83.3 KQ7..KT52.AKQ654 8654.K63.A74.JT8 T3.9852.QJ96.972:656544444444BABABBBB
KJT63.KJ65.QT4.3 74.Q984.965.KJ42 52.2.AKJ832.AQT8 AQ98.AT73.7.9765:42324444555522226666
KT654.J932.T2.A9 J.Q876.KQ93.KJ84 Q87.AKT5.A86.T52 A932.4.J754.Q763:53533333444388888888
K853.J9.T7.KQ975 T942.753.K932.62 J7.KQ82.QJ654.T8 AQ6.AT64.A8.AJ43:77778787777766667777
A653.T862.A954.9 KQ82.AJ943.73.K6 97.KQ75.T6.87432 JT4..KQJ82.AQJT5:AAA9AAAA7777A9A9AAA9
T643.QJ.A42.AK94 AQ98.743.83.T865 K.AK9862.KQ65.J3 J752.T5.JT97.Q72:41415555212132324444
AT4.T9843.AT72.6 K32.K.9654.AKQ87 75.AQJ65.KQ3.932 QJ986.72.J8.JT54:53539797111133339999
762.A9.QT6.QJ932 AQ3.JT8.985.KT54 T854.K742.AK2.86 KJ9.Q653.J743.A7:77776666878777776666
3.JT86.82.AKJ432 K76.K.AKQT64.Q86 A94.Q7432.J75.95 QJT852.A95.93.T7:A8A8AAAA5454A7A75555
T98.KT85.AKJ83.6 5.9743.QT965.AT8 AJ743.J6.42.J754 KQ62.AQ2.7.KQ932:88886566878876779999
J986.2.A92.JT652 QT32.T86.754.K98 K74.KQJ753.86.A7 A5.A94.KQJT3.Q43:76966666555588886676
A987.K6.J8.J8432 QJT.AJ72.95.KT97 6542.QT5.AT3.AQ5 K3.9843.KQ7642.6:66665454888777875464
963.T984.QJT7.63 Q752.Q32.K84.KT2 JT4.KJ7.A532.J94 AK8.A65.96.AQ875:BBB9BBBA88877776BBBA
T9.KQ94.A85.AKT2 852.T652.JT73.63 AKQJ7.AJ8.96.J94 643.73.KQ42.Q875:00000000000044440000
Q4.AT92.Q62.AK74 852.Q6.754.QJ983 JT96.873.KJ983.6 AK73.KJ54.AT.T52:66667676656544448888
T642.72.K75.KT74 753.KQ98643.T.Q3 A98.AT5.A9642.J9 KQJ.J.QJ83.A8652:66666666989966667676
7542.K2.J7.KQ972 AQ.AJ953.QT53.T8 93.874.A9864.A64 KJT86.QT6.K2.J53:A7A7BABACACA88887666
AKJ98.AK.532.K76 2.752.T986.JT843 Q4.QJT843.Q7.AQ2 T7653.96.AKJ4.95:40402020202066665454
K876.A65.A3.K874 A3.2.Q9542.Q6532 QT.KJT83.KT876.J J9542.Q974.J.AT9:44445555333344446566
876.4.AQJ98.8652 AQT3.AQ732.65.J3 K2.KJ9.T732.AQ97 J954.T865.K4.KT4:55557777777744444444
KQ3.AK4.KJ953.Q8 JT765.98.A8764.9 98.QT72.Q2.AK542 A42.J653.T.JT763:22225555323333334444
987653.AJ7.J.842 QJT4.832.Q9654.Q A.T65.A72.AK9765 K2.KQ94.KT83.JT3:55555555666687872222
T9754.J63.A764.J AK.AKQT98754..K5 J632..JT93.T8763 Q8.2.KQ852.AQ942:DCDC7676DDDD9888CBCB
K9.Q7.KJ54.A7543 A54.AT42.AT3.KJT QT876.9865.9.Q62 J32.KJ3.Q8762.98:A99887878888A9997676
A98754.A62.Q.JT4 JT62.87.A9852.85 3.Q9543.KT6.KQ62 KQ.KJT.J743.A973:87877676545488986565
JT6.9.A963.KQJ93 K75.AQT86.K2.T85 AQ982.J532.4.742 43.K74.QJT875.A6:74743333879797974343
K.KT3.J987.AQT62 T98.AQ987.AKQ6.4 76.J65.543.98753 AQJ5432.42.T2.KJ:D8DCDCDCBBBBBABB8687
AKT.J85.8753.642 J65.AQ742.KQJ6.J 98.63.92.AKQ8753 Q7432.KT9.AT4.T9:9494A9A9A9A999994444
73.KJ92.KJT4.KJ3 A954.5.873.T9875 T6.AT874.A52.Q42 KQJ82.Q63.Q96.A6:64648888323232327575
3.AK62.K842.QT86 J6..JT9765.K9754 T987542.J743.3.2 AKQ.QT985.AQ.AJ3:999976767666BBBBAAAA
J94.752.K32.A843 Q3.KT984.Q95.QJ9 A652.A63.874.T65 KT87.QJ.AJT6.K72:99998888999999998888
J5432.AQJ75.A.93 T986.T9832.53.72 K..KJT8764.QJ654 AQ7.K64.Q92.AKT8:77777676888854545565
KT6.QT8654.985.6 Q9.J3.T632.QJ972 J843.AK7.KQ74.85 A752.92.AJ.AKT43:77778676444477779999
T743.JT64.Q.8743 QJ96.K98.8543.J9 A5.5.AKJT72.QT65 K82.AQ732.96.AK2:66669999999955554444
.9873.QJ6542.A72 AQ43.AJ5.A9.JT65 KJT865.KQ642.7.8 972.T.KT83.KQ943:A8A8878744448777BABA
6.Q86.J9832.A874 AKQ754.KT2.T764. J983.J94.AK.Q963 T2.A753.Q5.KJT52:77779998888876766666
K62.AJ52.KJ3.T96 T54.T97643.Q9.A3 AJ83.Q8.AT86.Q72 Q97.K.7542.KJ854:54544444767644445565
A9764.K63.K.QT62 KQT.QJ98.653.985 J832.T75.T9.KJ43 5.A42.AQJ8742.A7:B9B96666BABABBBB6666
J.KJ72.953.AK732 T86.A3.JT4.JT864 AK97432.T65.2.95 Q5.Q984.AKQ876.Q:88884444666699998686
K9.J8762.K.JT943 AQJT83.3.AJ9.KQ7 762.T95.QT8643.8 54.AKQ4.752.A652:DDDDDDDDBBBB9999BBBB
KJ72.J64.K8765.Q A65.K.AQJ4.A8643 T984.753.92.J952 Q3.AQT982.T3.KT7:DDDD9888DCDCBABBCCCC
QJT4.AK5.987.Q76 9765.T973.A2.AK9 AK2.QJ62.KQT4.T2 83.84.J653.J8543:43333333433354446666
84.T7652.A83.J98 753.AK.K752.AKT3 QJ962..QJT96.652 AKT.QJ9843.4.Q74:CCCC9797CBCB9898CBCA
AT864.KT8.864.A8 Q53.Q973.2.QJ942 92.A65.KQT97.K65 KJ7.J42.AJ53.T73:55555555656544447777
J62.AQT.KQ5.AKT8 KQT875.J82.T9.Q4 9.9763.J732.J952 A43.K54.A864.763:77778888444444443333
K86.9874.QJ.AJT9 Q4.AT632.K8.K653 JT975.QJ.T752.Q8 A32.K5.A9643.742:989877779999A9A99999
7652.T96.A82.K94 T4.A432.T5.AT873 AKQ83..KQJ7643.6 J9.KQJ875.9.QJ52:B1B11010BABA1111C999
A72.AQT74.9853.4 JT.983.KQ.AKT632 K9863.2.742.J985 Q54.KJ65.AJT6.Q7:88886565878788889797
87.QT9532.AQ5.Q4 AQ653.J84.K.9752 J94.A6.98643.KJ8 KT2.K7.JT72.AT63:77779999656566669999
QT8.7.K82.KQT952 42.T8532.A9753.8 7653.AKJ9.T64.A7 AKJ9.Q64.QJ.J643:44546566989887876464
K6.AJ.A532.AJ954 T5.T5.QJT964.K62 A9.K9732.K87.QT7 QJ87432.Q864..83:22226666223244441121
J3.KJT654.AKT.T3 QT942.73.J632.62 865.A2.Q975.K975 AK7.Q98.84.AQJ84:73839898444453637777
82.QT542.97.K875 AKT765.AK6.Q4.QJ Q4.9.T532.A96432 J93.J873.AKJ86.T:D7D7DCDCAAAADCDC6565
KJT.KJ754.A42.KT A83.A6.KT3.J9743 Q652.93.Q8.A8652 974.QT82.J9765.Q:54555454555577775454
A9.432.Q63.AT643 T84.T8765.AT72.J J7.KQJ9.4.KQ8752 KQ6532.A.KJ985.9:6565BABA6666BBBB3232
AT83.KJ874.J6.K6 7.QT5.AT9753.AT8 KQ9652.962.K.QJ9 J4.A3.Q842.75432:87874444544499999999
A943.95.T874.A64 J85.AQ62.A6.QJ92 KT.KJT3.KJ532.K3 Q762.874.Q9.T875:43435555555322226666
T875.74.9752.KQ9 KJ.AK2.AQ64.JT86 642.QJT53.KJT.74 AQ93.986.83.A532:9999999988889999AAAA
QJ5.AQJ3.KJ2.AQ3 A87.T872.T86.KJ6 T63.K95.73.97542 K942.64.AQ954.T8:65667676555577775555
AQ7.T8642.7.T763 KT2.AK753.JT6.AQ J8653.Q9.AK84.85 94.J.Q9532.KJ942:777766667777AAAA9999
AQ75.Q65.A87.AQ2 986.432.43.K9864 3.KJT9.KJT2.JT75 KJT42.A87.Q965.3:32325555222233333333
3.AK8543.K953.75 K9752..A87642.Q8 QT8.QJT962.JT.K9 AJ64.7.Q.AJT6432:D7D7DDDD5454BBBBDDDD
9.8765.943.AK976 Q875.JT93.T8.QJ2 JT642.2.AKQ72.85 AK3.AKQ4.J65.T43:76766666888844445454
74.JT7632.75.J32 AT3.AK8.QJ4.AQ87 J965.54.K962.T65 KQ82.Q9.AT83.K94:DDDDDDDDBBBBDDDDDDDD
QJ3.2.T98763.AK3 K9.KJ8763.AK.J84 A865.AT4.J2.QT65 T742.Q95.Q54.972:66665555777733334242
KT.J73.A7.AK8753 52.T9654.J9543.6 AQJ964.K8.Q2.JT9 873.AQ2.KT86.Q42:10201020888887871020
Q.J98542.64.QT72 KJ9.Q7.AJ732.K95 T86432.AT.QT.843 A75.K63.K985.AJ6:CCCC99998688CCCCA9A9
AT.JT64.J.AQ9742 Q94.A83.T98763.T K8632.92.A42.J53 J75.KQ75.KQ5.K86:44445353767698982222
AK643.QJ5.4.QJ52 T87.K7.KJ875.A96 J95.T9632.Q93.T8 Q2.A84.AT62.K743:999966667676AAAA9898
2.A64.97653.AQ97 93.KT5.AKJT.8632 QT875.QJ3.Q42.J5 AKJ64.9872.8.KT4:77778788878866667777
T642.T52.AT8.743 QJ.K983.J976.KJ8 5.QJ74.Q53.AQT52 AK9873.A6.K42.96:98879999766687876665
J853.K6.QT984.T5 KT97.Q82.AKJ3.K9 A42.AT93.75.J872 Q6.J754.62.AQ643:A9A99999999988889898
T96.J52.KJT2.KQ2 KQ7432..A6.J9743 85.AKQT8764.Q5.A AJ.93.98743.T865:72729999303066669999
QJ954.AQ4..AQ976 AT87.32.KQ9765.K K6.JT976.AJ3.T85 32.K85.T842.J432:21223222212177772222
AQT6.Q8764.75.QT K9542.A.QJT4.942 7.KJT2.K962.J875 J83.953.A83.AK63:77779999555588888888
.KQ954.AK9432.98 KQJ92.J86.76.AJ3 T843.A32.QJT85.4 A765.T7..KQT7652:C2C2DBDB22321010C9CA
JT74.JT8.K97.A63 AQ83.AK43.AQ5.Q9 K652.Q96.83.T872 9.752.JT642.KJ54:A9998888BABABBBBA999
T96.Q7.KQ9.86543 KJ754.A84.T542.K A3.KJ953.876.AQ7 Q82.T62.AJ3.JT92:66667777444466665454
T96.965.K876.J54 A75.KT72.Q3.AK82 J4.AQJ83.J42.Q76 KQ832.4.AT95.T93:AAA9BBBB8887A9A9AAAA
QJ.T7432.A85.Q85 K75.A985.Q42.T63 T642.Q.KT93.AK97 A983.KJ6.J76.J42:66666666666654545454
K85.942.854.A752 AJ6.A3.AJT963.83 QT742.KJ75.KQ72. 93.QT86..KQJT964:8786666677767787CBCB
Q7.AKT9642.A.K42 T96.73.QJT85.AJ9 J42.85.9742.QT65 AK853.QJ.K63.873:53539797333377775353
KQ863.J8.QJ.8764 T4.K.AK8764.KQ95 AJ972.654.T3.AT3 5.AQT9732.952.J2:D7D76666DBDBDBDB8888
KT32.KJT75.Q72.J J95.A42.A543.542 86.Q9863.T6.AKQ6 AQ74..KJ98.T9873:86868888434399998888
T.KJ865.K53.K653 K6432.T7.A2.AQ84 AQJ98.32.974.T72 75.AQ94.QJT86.J9:88888887888898998787
J985.65.AQJ6.A84 K.AKQT43.742.963 QT2.97.K95.KJT52 A7643.J82.T83.Q7:84846565989854545353
T852.T8.J32.K732 AJ6.Q54.Q6.AQT64 Q94.J7632.974.85 K73.AK9.AKT85.J9:DDDDBBBBCCCCDDDDDDDD
74.AKJ7.AKQ62.76 KQ653.Q94..AKQT3 A8.8632.T95.J985 JT92.T5.J8743.42:6565AAAA434455558787
A73.J754..AQ7643 QJ.AQ8.J9765.982 K854.T2.AKQ842.5 T962.K963.T3.KJT:54554344646544444344
A973.542.J5.QT54 QT8.K963.KQ9.AK9 J6542.T87.A642.2 K.AQJ.T873.J8763:B8B87777AAAABABABABA
98.J86.Q976.K864 Q643.43.KJ542.Q3 KJT.KQT5.T.JT972 A752.A972.A83.A5:77779999666688885455
5.954.J975.A9632 J864.T87.A6432.7 AKQT7.K3.KT.JT84 932.AQJ62.Q8.KQ5:77765454888766664343
KQ874.KT52.K64.J 52.AJ876.A2.KT85 A63..QJ85.Q97632 JT9.Q943.T973.A4:85754343888855555555
QJT63.K932.J96.A A42.QJ84.AT7.Q85 K875.AT76.KQ5.K4 9.5.8432.JT97632:53533333434355558888
KT8764.Q5.98.J52 52.KT8.KQT64.AT6 AJ93.A74.J72.Q93 Q.J9632.A53.K874:76765555BBBBBABA9999
T.QJ5.KQ97532.A8 7532.AK73.J.KQ76 KJ986.842.AT8.93 AQ4.T96.64.JT542:5555777799994343A9A9
QJT84.AQJ.K4.J65 K72.T843.A5.8432 A53.765.8732.AT7 96.K92.QJT96.KQ9:44444444767666765555
AKT3.A765.Q6.K93 Q742.983.J.AJ762 985.K.A87542.Q85 J6.QJT42.KT93.T4:55555555767644445555
K973.64.A986.842 Q6.KQT.KQ432.QJT AJT85.J75.75.973 42.A9832.JT.AK65:97976666AAAAA9A9AAAA
J87.Q6.JT92.KT42 AT65.KJ853.83.A6 Q92.T92.AKQ654.7 K43.A74.7.QJ9853:9797BABABBBB5555BABA
94.653.KQ983.K76 KT652.QT9..A9432 AQJ7.A82.7652.J5 83.KJ74.AJT4.QT8:55558777988854559999
AKQT3.K985.T73.Q 98765.AT.A862.42 J2.QJ64.KQ954.65 4.732.J.AKJT9873:A8A8545454544343BABA
Q652.KT7.J6.QJ43 JT7.A984.873.AK9 98.6.AKT9542.752 AK43.QJ532.Q.T86:76769999AAAA66669999
J92.2.AK7.AKT962 Q3.QJT43.984.Q84 K4.A976.QJ532.53 AT8765.K85.T6.J7:42426565666622222222
K.K74.KJ92.AK753 Q875.A962.753.QJ A962.JT53.AQ86.9 JT43.Q8.T4.T8642:43434444222211114444
AKQ8742.86.K6.94 J95.74.Q75.KJ752 3.AJT53.AJT4.QT6 T6.KQ92.9832.A83:21212121444441415555
Q763.T843.T84.K7 84.KQ952.A65.965 KJT52.7.K7.QJT84 A9.AJ6.QJ932.A32:B8B84444BABABABA5454
8.AQJ6.T64.AQ843 A.T5.KQ98753.J76 KQJT6543.K72..T5 972.9843.AJ2.K92:87871111434399994444
AJ85.87.K83.J986 9732.JT.T954.A73 Q6.K54.AQ72.KT42 KT4.AQ9632.J6.Q5:77776676778755553343
A64.43.9763.KQ43 T9853.AJT72.J.A2 KJ.K5.AQ52.J9865 Q72.Q986.KT84.T7:55558888888854544444
JT8..QJ432.QT762 Q3.Q832.AK8.AK94 K975.AK.T976.J53 A642.JT97654.5.8:A8A87777BABA65657676
K9765.A.J9652.T2 2.J9.AKT43.AQ987 AQ43.8543.8.6543 JT8.KQT762.Q7.KJ:97975555BBBBA9A9BABA
AQT876.753.54.J3 K93.A82.K2.A9852 2.JT64.AT986.K64 J54.KQ9.QJ73.QT7:AAAA7777888888879999
975.2.KQT53.KQT6 Q4.K86.87.J98752 AKJ83.AQJ3.AJ6.3 T62.T9754.942.A4:11111010333310103333
97.T86.Q864.7652 KQT83.AQ4.A.AKJT A52.J9753.KT5.83 J64.K2.J9732.Q94:CACACCCC88889999CBCB
AK975.Q6.T83.865 QJ.T5.KJ742.K732 T2.KJ2.AQ965.AQJ 8643.A98743..T94:22212222545422223333
A.KT9852.AKQ3.Q4 K942..T874.AT852 T875.AQJ76.6.J93 QJ63.43.J952.K76:33337777212163638686
965.AJ.JT7653.A9 8.KQ86532.982.Q7 AQJT72.9.AKQ.J64 K43.T74.4.KT8532:41412121999921218888
QJ942.73.AK73.43 T7.JT94.JT962.Q6 A.AKQ65.854.AT95 K8653.82.Q.KJ872:44444444434333335454
J984.96.KJ986.AQ AKQT5.AJ83.3.T75 3.KQT752.T42.632 762.4.AQ75.KJ984:9898BBBB54558686AAAA
QJ9865.K.T43.J75 AKT.AT7.KQ6.AQ32 743.Q82.A52.K964 2.J96543.J987.T8:99997676BBBBBABA8787
T852.JT32.4.AQT8 976.6.K8753.KJ64 AJ43.KQ94.QT6.32 KQ.A875.AJ92.975:888865656565BABA9898
QJ42.K862.A43.Q2 T97.QT.Q862.K976 65.J953.KT7.T843 AK83.A74.J95.AJ5:98998888767798999899
J52.A7.A.KQ98532 A76.T96542.QT.J7 Q98.J83.K763.T64 KT43.KQ.J98542.A:44448787888899994343
J9632.6542.K.AK8 QT84.9.A43.QJT43 5.AK873.J976.752 AK7.QJT.QT852.96:99998888545498989898
JT3.98.87.KQJT73 642.J7643.J953.5 KQ95.KT2.T62.862 A87.AQ5.AKQ4.A94:A8A88888AAAABABA6666
AJ83.K54.J3.A982 .A732.KT52.KQJT3 42.QJ986.Q87.765 KQT9765.T.A964.4:8888AAAA7777BBBB9999
AT7632.T54.AQ75. KJ84.Q872..T9643 5.J6.J96432.KJ87 Q9.AK93.KT8.AQ52:97977777A9A94343AAAA
J985.92.T82.QJ87 AKT764.543.J.942 32.AJ6.AK96.AKT5 Q.KQT87.Q7543.63:55657777767665654444
J84.KJ98.6.KT865 6.32.AQJ874.A932 AKQT97.AT4.KT95. 532.Q765.32.QJ74:32221111322266666565
KQ84.A6.J2.AQJ97 975.432.AKT9.T64 32.QT985.Q873.K3 AJT6.KJ7.654.852:54545555444455555454
32.J86.KT6.KJ642 AK65.Q.AQ9872.Q8 J987.K95432.3.A3 QT4.AT7.J54.T975:BABABABA5555BBBB8787
AKQ43.K94.98.853 92.Q8762.AKJ7.AQ JT75.J.QT6.J9642 86.AT53.5432.KT7:77776565A9A9A9A96666
964.6432.JT93.Q4 875.K.8752.AKT96 QJT3.Q8.Q4.J7532 AK2.AJT975.AK6.8:DCDCBABADCDCBBBBBBBB
T2.965.82.AT8753 AJ64.AQ732.763.J 83.KT4.AQJ95.K92 KQ975.J8.KT4.Q64:6666A9A9A9A964645454
J8.K974.QT73.KQ4 A7532.A83.6.JT53 KQ.JT62.AKJ52.82 T964.Q5.984.A976:64648888434333338888
Q852.A.QT62.8542 74.95.AJ5.KQJ963 AKJ93.K8.K43.AT7 T6.QJT76432.987.:3353325288A833536666
K5.AKT5.QJ92.T73 Q943.72.A7.QJ962 A762.9643.8654.K JT8.QJ8.KT3.A854:87877777444444449898
K75.8762.AQ974.A AJ2.JT3.T32.QT94 QT64.A9.865.7632 983.KQ54.KJ.KJ85:65654444656543437676
J83.KT8764.K98.J AQT4.Q.QJ54.9652 K76.J92.7632.AT8 952.A53.AT.KQ743:8686989855558787BBBA
K986.AK9.J654.K2 542.T542.73.J874 T3.J86.AQ98.QT95 AQJ7.Q73.KT2.A63:44444454555533334444
AQJT84.A642.T7.Q 5.Q985.AK53.A754 K97.KT7.Q84.K982 632.J3.J962.JT63:44443333555577777777
K853.8654.K6.AQ2 T62.QJ.A873.JT93 Q974.AT3.JT95.85 AJ.K972.Q42.K764:76765455656666668888
Q73.Q6.AQ875.KQ2 T2.KT72.9632.T83 AKJ864.984.J4.96 95.AJ53.KT.AJ754:55553232777754547777
9754.J83.AKQ8.Q7 AJ8.T974.73.J653 T62.K62.T52.AT42 KQ3.AQ5.J964.K98:77777676778766768787
KJ52.Q9732.84.Q7 AT73.K86.J9.K942 64.AJT5.AT53.AT8 Q98.4.KQ762.J653:44446565333376767777
532.A82.JT72.K92 KJ4.953.K93.AQ63 AQ987.K.AQ654.T8 T6.QJT764.8.J754:43424332888733328777
4.KJ73.8532.KJ72 KT65.T985.JT97.8 AQJ932.Q6.K6.AT3 87.A42.AQ4.Q9654:55555353666666664444
KQ54.52.T76.K984 J863.AKJ.K532.76 72.QT874.AJ9.J32 AT9.963.Q84.AQT5:87878888777788887776
AT53.QJT2.53.A93 97642.9876.AJ.J4 Q.K5.KQ9762.K852 KJ8.A43.T84.QT76:43436666535332324444
9765.5.AQT92.QJT AKT.T862.J64.643 J84.AK9743.85.A7 Q32.QJ.K73.K9852:66665454656555556565
AK7.T872.T94.QT4 83.AKJ.AKJ86.J83 J92.Q54.73.A7652 QT654.963.Q52.K9:88889898777799996565
98.KJ2.QJ862.AT2 7653.75.A97.Q953 AQJT42.T963..K74 K.AQ84.KT543.J86:43433333333377776665
T6.QJ6.T962.AK52 Q54.8732.A753.Q3 K72.K95.KJ.T9864 AJ983.AT4.Q84.J7:77778888878677774444
986543.9.QJ7.832 QJT.86.AK42.AQ64 72.AJ732.986.975 AK.KQT54.T53.KJT:CCCC9999BBBBBBBBCBCB
KT5.Q754.95.7652 J8643.32.KQ74.KQ 9.AK86.AJ8632.43 AQ72.JT9.T.AJT98:7777B9B9555455559898
AK.9.9853.KJ9873 43.KT872.K64.542 J952.AJ653.QJ2.A QT876.Q4.AT7.QT6:65656666666654543333
9.A65432.QJ7.AJ4 J8753.97.862.T53 AQT6.QJT8.A4.KQ9 K42.K.KT953.8762:11114444111144442232
874.953.J92.Q875 AK953.KQ4.T6.J63 J2.AT72.AK84.KT9 QT6.J86.Q753.A42:88878888666677767676
J3.AQJ7.A76.QJ92 T52.2.52.AK87543 A94.T86.QJT983.T KQ876.K9543.K4.6:22227676545421227777
AQ6543.2.AT53.J5 J98.AQ.KJ92.9864 7.KT95.8764.AKT7 KT2.J87643.Q.Q32:54544444555543435455
KT53.AJ.JT742.K8 874.Q2.KQ3.Q9743 AJ2.T865.9865.T6 Q96.K9743.A.AJ52:77776565777755558888
J.J632.K982.9643 AKT932.K5.T3.A75 Q85.QT984.A6.QT2 764.A7.QJ754.KJ8:AAAAAAAA666699999898
32.K9.QJ.JT85432 Q5.87532.9765.A6 KJ98.AQJT.A2.Q97 AT764.64.KT843.K:64746676777688883333
T96.J853.J9742.6 AQ83.KT9.K86.JT5 754.AQ74.AQ5.AQ4 KJ2.62.T3.K98732:96957676444344449998
JT84.432.AT7.A64 .KQ9865.KQJ.KJ32 KQ6.AT.9653.Q875 A97532.J7.842.T9:66667666999966667676
A987.J2.QT4.AT32 T2.AQ97.K65.9654 Q654.KT8654.J92. KJ3.3.A873.KQJ87:77775555555588889999
A97654.T.86.9854 Q82.A87.Q3.QJT76 T.KJ92.T9754.AK2 KJ3.Q6543.AKJ2.3:98988777999977777777
653.J86.AKJ86.65 AK987.A954.94.A7 QT42.T72.532.K93 J.KQ3.QT7.QJT842:77778888AAAA7677AAAA
72.943.K5.QT9863 AT9543.A2.763.A7 J86.QJT765.Q82.4 KQ.K8.AJT94.KJ52:CCCCCCCC7777CBCB9999
QT53.KQ.Q.KQ9543 J8642.J75.KT542. K97.863.AJ98.T86 A.AT942.763.AJ72:66666566999899994344
7654.Q3.AJ5.AK94 J.AKT64.K76.T752 QT82.72.T42.QJ83 AK93.J985.Q983.6:88887777BBBBAAAA7777
AKJ943.Q8.43.T85 752.A7.AK87.AJ62 Q6.J9654.QJ5.KQ4 T8.KT32.T962.973:65655555767688888787
4.9732.AQJT75.A6 K972.85.K9863.83 JT63.QJ64.4.T742 AQ85.AKT.2.KQJ95:A9B9BABA66768888BBBB
A4.98632.Q76.KJ9 J9865.T5.K932.65 K72.AQ4.JT8.A872 QT3.KJ7.A54.QT43:65657777444465665455
KT8.T8.KJT76.J98 QJ7532.632.852.Q 6.AKQ975.4.AT753 A94.J4.AQ93.K642:43438787333365653333
KJ87.62.JT62.Q62 Q2.975.A875.JT87 T964.AJ8.K9.AK53 A53.KQT43.Q43.94:77774444878766665554
T82.KQ4.AT92.J84 AK9765.653.KJ5.K Q4.J98.Q73.AQ972 J3.AT72.864.T653:64647777767655555555
AJ743.T5.QJ72.A2 T65.Q83.AT8.T865 KQ.AKJ4.K9543.Q9 982.9762.6.KJ743:11412121223211116666
K7643.72.742.KJT A85.8.KQJ53.8532 JT.QT9653.6.Q764 Q92.AKJ4.AT98.A9:BBBBA9A98787CCCCA9A9
97.A3.AKT82.Q654 J64.KQJ9.Q3.KJ93 AKQT3.6542.5.A82 852.T87.J9764.T7:44444343544444443333
J972.K92.K73.A63 T86.QJT7.Q4.QT92 A54.A64.JT82.K87 KQ3.853.A965.J54:66666565777766667777
AK8.QJT5.AK87.76 JT3.K64.QJT96.K8 972.732.543.AT32 Q654.A98.2.QJ954:66668787666677778787
T863.K9.T92.A764 J542..753.KQT953 AQ9.T76.AKQJ86.J K7.AQJ85432.4.82:43335454778733338787
